id,title,genre,poster,imdbrating,year
34,The Legend of Tarzan,Action Adventure Romance,TheLegendofTarzan.jpg,6.2,2016
35,The Secret Life of Pets,Animation,TheSecretLifeofPets.jpg,6.4,2016
36,Warcraft,Action,Warcraft.jpg,7.1,2016
37,X-Men Apocalypse,Sci-Fi,X-MenApocalypse.jpg,7.1,2016
38,American Ultra,Action Comedy Sci-Fi Thriller,AmericanUltra.jpg,6.1,2015
39,Ant-Man,Sci-Fi,Ant-Man.jpg,7.3,2015
40,Avengers Age of Ultron,Sci-Fi,AvengersAgeofUltron.jpg,7.3,2015
41,Blind Date,Comedy Romance,BlindDate.jpg,5.1,2015
42,Bridge of Spies,Drama Thriller,BridgeofSpies.jpg,7.6,2015
43,Chappie,Action Thriller,Chappie.jpg,6.8,2015
44,Cinderella,Animation Children Fantasy Musical Romance,Cinderella.jpg,6.9,2015
45,Crazy Beautiful,Drama Romance,CrazyBeautiful.jpg,7.2,2015
46,Creed,Drama,Creed.jpg,7.6,2015
47,Daddy's Home,Comedy,Daddy'sHome.jpg,6.2,2015
48,Dope,Comedy,Dope.jpg,7.2,2015
49,Everest,Adventure Drama Thriller,Everest.jpg,7.1,2015
50,Fantastic Four,Sci-Fi,FantasticFour.jpg,4.3,2015
51,Focus,Comedy Crime Romance,Focus.jpg,6.6,2015
52,Furious 7,Action,Furious7.jpg,7.1,2015
53,Get Hard,Comedy Crime,GetHard.jpg,6,2015
54,Heist,Crime Drama,Heist.jpg,6.1,2015
55,Home,Documentary,Home.jpg,6.6,2015
56,Inside Out,Animation Children Comedy Fantasy,InsideOut.jpg,8.1,2015
57,Insurgent,Action Sci-Fi,Insurgent.jpg,6.2,2015
58,Jurassic World,Action Thriller,JurassicWorld.jpg,7,2015
59,Kung Fury,Action Comedy Fantasy Sci-Fi,KungFury.jpg,8,2015
60,Love and Death,Comedy,LoveandDeath.jpg,6.9,2015
61,Macbeth,Drama,Macbeth.jpg,6.6,2015
62,Mad Max Fury Road,Action Thriller,MadMaxFuryRoad.jpg,8.1,2015
63,Me and Earl and the Dying Girl,Drama,MeandEarlandtheDyingGirl.jpg,7.7,2015
64,Minions,Animation Children Comedy,Minions.jpg,6.4,2015
65,Pitch Perfect 2,Comedy,PitchPerfect2.jpg,6.4,2015
66,Pixels,Action Comedy Sci-Fi,Pixels.jpg,5.5,2015
67,Room,Drama,Room.jpg,8.2,2015
68,Sicario,Action Mystery Thriller,Sicario.jpg,7.3,2015
69,Southpaw,Drama Sport,Southpaw.jpg,7.3,2015
70,Spectre,Action,Spectre.jpg,6.4,2015
71,Spotlight,Biography Crime Drama History,Spotlight.jpg,8,2015
72,Steve Jobs,Biography Drama,SteveJobs.jpg,6.9,2015
73,Straight Outta Compton,Biography Crime Drama History Music,StraightOuttaCompton.jpg,7.8,2015
74,Ted 2,Comedy,Ted2.jpg,6,2015
75,Terminator Genisys,Sci-Fi,TerminatorGenisys.jpg,6.2,2015
76,The Big Short,Biography Comedy History,TheBigShort.jpg,7.5,2015
77,The Craft,Drama Fantasy Horror Thriller,CraftThe.jpg,6.8,2015
78,The DUFF,Comedy,TheDUFF.jpg,6.2,2015
79,The Gift,Thriller,GiftThe.jpg,7,2015
80,The Hateful Eight,Crime Western,TheHatefulEight.jpg,7.8,2015
81,The Hunger Games Mockingjay - Part 2,Adventure Sci-Fi,TheHungerGamesMockingjay-Part2.jpg,6.2,2015
82,The Intern,Comedy,TheIntern.jpg,6.9,2015
83,The Man from U.N.C.L.E.,Action,TheManfromU.N.C.L.E..jpg,7.1,2015
84,The Martian,Sci-Fi,TheMartian.jpg,8,2015
85,The Paper,Comedy,PaperThe.jpg,6.3,2015
86,The Revenant,Adventure Drama Thriller Western,TheRevenant.jpg,8,2015
87,Tomorrowland,Action Adventure Family Mystery Sci-Fi,Tomorrowland.jpg,6.2,2015
88,Trainwreck,Comedy,Trainwreck.jpg,6,2015
89,Vacation,Adventure Comedy,Vacation.jpg,5.7,2015
90,22 Jump Street,Comedy Crime,22JumpStreet.jpg,7,2014
91,A Million Ways to Die in the West,Comedy Western,AMillionWaystoDieintheWest.jpg,6.1,2014
92,American Sniper,War,AmericanSniper.jpg,7.3,2014
93,Big Hero 6,Animation Comedy,BigHero6.jpg,7.8,2014
94,Blended,Comedy,Blended.jpg,6.5,2014
95,Boyhood,Drama,Boyhood.jpg,7.9,2014
96,Captain America The Winter Soldier,Sci-Fi,CaptainAmericaTheWinterSoldier.jpg,7.7,2014
97,Dawn of the Planet of the Apes,Sci-Fi,DawnofthePlanetoftheApes.jpg,7.6,2014
98,Divergent,Adventure Romance Sci-Fi,Divergent.jpg,6.7,2014
99,Edge of Tomorrow,Action Sci-Fi,EdgeofTomorrow.jpg,7.9,2014
100,Enigma,Romance Thriller,Enigma.jpg,8,2014
101,Ex Machina,Drama Sci-Fi Thriller,ExMachina.jpg,7.7,2014
102,Flowers in the Attic,Drama Thriller,FlowersintheAttic.jpg,6.1,2014
103,Fury,War,Fury.jpg,7.6,2014
104,Godzilla,Action Sci-Fi,Godzilla.jpg,6.4,2014
105,Gone Girl,Drama Thriller,GoneGirl.jpg,8.1,2014
106,Guardians of the Galaxy,Sci-Fi,GuardiansoftheGalaxy.jpg,8,2014
107,Horrible Bosses 2,Comedy Crime,HorribleBosses2.jpg,6.3,2014
108,How to Train Your Dragon 2,Animation,HowtoTrainYourDragon2.jpg,7.8,2014
109,Inherent Vice,Comedy Crime Mystery Romance,InherentVice.jpg,6.7,2014
110,Interstellar,Sci-Fi,Interstellar.jpg,8.6,2014
111,Invincible,Drama,Invincible.jpg,7.2,2014
112,John Wick,Action Thriller,JohnWick.jpg,7.4,2014
113,Kingsman The Secret Service,Action Comedy Crime,KingsmanTheSecretService.jpg,7.7,2014
114,Let's Be Cops,Comedy Crime,Let'sBeCops.jpg,6.4,2014
115,Lucy,Action Sci-Fi,Lucy.jpg,6.4,2014
116,Maleficent,Action Adventure Children IMAX,Maleficent.jpg,7,2014
117,Neighbors,Comedy,Neighbors.jpg,6.3,2014
118,Night at the Museum Secret of the Tomb,Adventure Children Comedy Fantasy,NightattheMuseumSecretoftheTomb.jpg,6.2,2014
119,Nightcrawler,Crime,Nightcrawler.jpg,7.9,2014
120,Noah,Adventure Drama IMAX,Noah.jpg,5.7,2014
121,Penguins of Madagascar,Animation Children Comedy,PenguinsofMadagascar.jpg,6.7,2014
122,Predestination,Action Mystery Sci-Fi Thriller,Predestination.jpg,7.5,2014
123,Ride Along,Action Comedy,RideAlong.jpg,6.2,2014
124,Sex Tape,Comedy,SexTape.jpg,4.6,2014
125,Still Alice,Drama,StillAlice.jpg,7.3,2014
126,Taken 3,Action Thriller,Taken3.jpg,5.5,2014
127,Teenage Mutant Ninja Turtles,Action Sci-Fi,TeenageMutantNinjaTurtles.jpg,5.5,2014
128,The Amazing Spider-Man 2,Action Sci-Fi,TheAmazingSpider-Man2.jpg,6.4,2014
129,The Equalizer,Action,TheEqualizer.jpg,6.9,2014
130,The Fault in Our Stars,Drama Romance,TheFaultinOurStars.jpg,7.5,2014
131,The Giver,Drama Romance Sci-Fi,TheGiver.jpg,6.2,2014
132,The Grand Budapest Hotel,Adventure Comedy Crime,TheGrandBudapestHotel.jpg,8,2014
133,The Hobbit The Battle of the Five Armies,Adventure Fantasy,TheHobbitTheBattleoftheFiveArmies.jpg,7.3,2014
134,The Hunger Games Mockingjay - Part 1,Adventure Sci-Fi Thriller,TheHungerGamesMockingjay-Part1.jpg,6.4,2014
135,The Imitation Game,Biography War,TheImitationGame.jpg,8,2014
136,The Interview,Comedy,TheInterview.jpg,6.2,2014
137,The Lego Movie,Animation,TheLegoMovie.jpg,7.5,2014
138,The Maze Runner,Action Mystery Sci-Fi,TheMazeRunner.jpg,6.8,2014
139,The Monuments Men,War,TheMonumentsMen.jpg,5.7,2014
140,The Other Woman,Comedy,TheOtherWoman.jpg,5.5,2014
141,The Purge Anarchy,Sci-Fi,ThePurgeAnarchy.jpg,6.2,2014
142,The Theory of Everything,Biography Drama Romance,TheTheoryofEverything.jpg,7.5,2014
143,Transcendence,Drama Mystery Romance Sci-Fi Thriller,Transcendence.jpg,6,2014
144,Whiplash,Drama Music,Whiplash.jpg,8.4,2014
145,Wild,Adventure Biography Drama,Wild.jpg,6.9,2014
146,X-Men Days of Future Past,Sci-Fi,X-MenDaysofFuturePast.jpg,7.8,2014
147,12 Years a Slave,Drama,12YearsaSlave.jpg,8.1,2013
148,47 Ronin,Action Adventure Fantasy,47Ronin.jpg,6.3,2013
149,A Good Day to Die Hard,Action IMAX,GoodDaytoDieHardA.jpg,5.3,2013
150,About Time,Drama Fantasy Romance,AboutTime.jpg,7.8,2013
151,American Hustle,Crime Drama,AmericanHustle.jpg,7.2,2013
152,Anchorman 2 The Legend Continues,Comedy,Anchorman2TheLegendContinues.jpg,6.3,2013
153,Batman The Dark Knight Returns Part 2,Animation,BatmanTheDarkKnightReturnsPart2.jpg,8.4,2013
154,Captain Phillips,Adventure Drama Thriller IMAX,CaptainPhillips.jpg,7.8,2013
155,Dallas Buyers Club,Drama,DallasBuyersClub.jpg,8,2013
156,Despicable Me 2,Animation Children Comedy IMAX,DespicableMe2.jpg,7.3,2013
157,Don Jon,Comedy,DonJon.jpg,6.5,2013
158,Elysium,Action Sci-Fi,Elysium.jpg,6.6,2013
159,Ender's Game,Sci-Fi,Ender'sGame.jpg,6.6,2013
160,Enemy,Mystery Thriller,Enemy.jpg,6.9,2013
161,Fast & Furious 6,Action IMAX,Fast&Furious6.jpg,7.1,2013
162,Grand Illusion,War,GrandIllusion.jpg,7.3,2013
163,Gravity,Action Sci-Fi,Gravity.jpg,7.7,2013
164,Grown Ups 2,Comedy,GrownUps2.jpg,5.4,2013
165,Hansel & Gretel Witch Hunters,Action Fantasy Horror IMAX,Hansel&GretelWitchHunters.jpg,6.1,2013
166,Her,Drama Romance Sci-Fi,Her.jpg,8,2013
167,Inside Llewyn Davis,Drama,InsideLlewynDavis.jpg,7.5,2013
168,Iron Man 3,Action Sci-Fi,IronMan3.jpg,7.2,2013
169,Jack the Giant Slayer,Adventure Fantasy IMAX,JacktheGiantSlayer.jpg,6.2,2013
170,Kick-Ass 2,Comedy Crime,Kick-Ass2.jpg,6.5,2013
171,Man of Steel,Action Adventure Fantasy Sci-Fi,ManofSteel.jpg,7,2013
172,Monsters University,Animation Comedy,MonstersUniversity.jpg,7.3,2013
173,Now You See Me,Crime Mystery Thriller,NowYouSeeMe.jpg,7.3,2013
174,Oblivion,Sci-Fi,Oblivion.jpg,7,2013
175,Olympus Has Fallen,Action Thriller,OlympusHasFallen.jpg,6.5,2013
176,Oz the Great and Powerful,Action Adventure Fantasy IMAX,OztheGreatandPowerful.jpg,6.3,2013
177,Pacific Rim,Sci-Fi,PacificRim.jpg,6.9,2013
178,Pain & Gain,Comedy Crime,Pain&Gain.jpg,6.4,2013
179,Prisoners,Drama Mystery Thriller,Prisoners.jpg,8.1,2013
180,Rush,Action Biography Drama Sport,Rush.jpg,8,2013
181,Saving Mr. Banks,Biography Comedy History Music,SavingMr.Banks.jpg,7.3,2013
182,Side Effects,Crime,SideEffects.jpg,6.9,2013
183,Sleepy Hollow,Adventure Drama Fantasy Mystery Thriller,SleepyHollow.jpg,7.3,2013
184,Snowpiercer,Sci-Fi,Snowpiercer.jpg,6.6,2013
185,Star Trek Into Darkness,Sci-Fi,StarTrekIntoDarkness.jpg,7.5,2013
186,The Best Offer,Crime Romance,TheBestOffer.jpg,7.5,2013
187,The Croods,Animation Fantasy,TheCroods.jpg,7.1,2013
188,The Great Gatsby,Drama Romance,TheGreatGatsby.jpg,7.1,2013
189,The Heat,Action,TheHeat.jpg,6.2,2013
190,The HobbitThe Desolation of Smaug,Adventure Fantasy,TheHobbitTheDesolationofSmaug.jpg,7.8,2013
191,The Hunger Games Catching Fire,Adventure Sci-Fi Thriller,TheHungerGamesCatchingFire.jpg,7.3,2013
192,The Internship,Comedy,TheInternship.jpg,6,2013
193,The Lone Ranger,Action Adventure Western,TheLoneRanger.jpg,6.2,2013
194,The Secret Life of Walter Mitty,Adventure Comedy Fantasy Romance,TheSecretLifeofWalterMitty.jpg,7.1,2013
195,The Wolf of Wall Street,Biography Comedy Crime,TheWolfofWallStreet.jpg,8,2013
196,The Wolverine,Sci-Fi,TheWolverine.jpg,6.4,2013
197,The World's End,Action,TheWorld'sEnd.jpg,6.6,2013
198,This Is the End,Comedy Fantasy,ThisIstheEnd.jpg,6.4,2013
199,Thor The Dark World,Action,ThorTheDarkWorld.jpg,6.9,2013
200,Warm Bodies,Comedy Horror Romance,WarmBodies.jpg,6.6,2013
201,We're the Millers,Comedy Crime,We'retheMillers.jpg,6.6,2013
202,White House Down,Action Drama Thriller,WhiteHouseDown.jpg,6,2013
203,World War Z,Action Adventure Horror,WorldWarZ.jpg,6.6,2013
204,Zulu,Crime,Zulu.jpg,6.4,2013
205,21 Jump Street,Comedy Crime,21JumpStreet.jpg,7.2,2012
206,Abraham Lincoln Vampire Hunter,Action Fantasy Horror Thriller,AbrahamLincolnVampireHunter.jpg,5.9,2012
207,Argo,Drama Thriller,Argo.jpg,7.7,2012
208,Batman The Dark Knight Returns Part 1,Animation Sci-Fi,BatmanTheDarkKnightReturnsPart1.jpg,8,2012
209,Beasts of the Southern Wild,Drama Fantasy,BeastsoftheSouthernWild.jpg,7.3,2012
210,Brave,Animation Children,Brave.jpg,7.1,2012
211,Chronicle,Action Sci-Fi,Chronicle.jpg,7,2012
212,Cloud Atlas,Drama Sci-Fi,CloudAtlas.jpg,7.4,2012
213,Dark Shadows,Comedy Horror IMAX,DarkShadows.jpg,6.2,2012
214,Django Unchained,Action Drama Western,DjangoUnchained.jpg,8.4,2012
215,Dr. Seuss' The Lorax,Animation Fantasy Musical IMAX,Dr.Seuss'TheLorax.jpg,6.4,2012
216,Dredd,Action Sci-Fi,Dredd.jpg,7.1,2012
217,End of Watch,Crime,EndofWatch.jpg,7.6,2012
218,Flight,Drama,Flight.jpg,7.3,2012
219,Here Comes the Boom,Action Comedy,HereComestheBoom.jpg,6.4,2012
220,Hotel Transylvania,Animation Children Comedy,HotelTransylvania.jpg,7.1,2012
221,Ice Age 4 Continental Drift,Animation Comedy,IceAgeContinentalDrift.jpg,6.6,2012
222,Jack Reacher,Action,JackReacher.jpg,7,2012
223,John Carter,Sci-Fi,JohnCarter.jpg,6.6,2012
224,Judge Dredd,Action Crime Sci-Fi,JudgeDredd.jpg,7.1,2012
225,Life of Pi,Adventure Drama IMAX,LifeofPi.jpg,7.9,2012
226,Looper,Action Crime Sci-Fi,Looper.jpg,7.4,2012
227,Madagascar 3 Europe's Most Wanted,Animation Children Comedy IMAX,Madagascar3Europe'sMostWanted.jpg,6.8,2012
228,Magic Mike,Drama Romance,MagicMike.jpg,6.1,2012
229,Men in Black III,Action Comedy Sci-Fi,MeninBlackIII.jpg,6.8,2012
230,Moonrise Kingdom,Comedy,MoonriseKingdom.jpg,7.8,2012
231,Paperman,Animation Comedy,Paperman.jpg,8.3,2012
232,Pitch Perfect,Comedy Musical,PitchPerfect.jpg,7.2,2012
233,Premium Rush,Action Thriller,PremiumRush.jpg,6.5,2012
234,Project X,Comedy,ProjectX.jpg,6.6,2012
235,Prometheus,Sci-Fi,Prometheus.jpg,7,2012
236,Rise of the Guardians,Animation Children Fantasy IMAX,RiseoftheGuardians.jpg,7.3,2012
237,Safe,Action,Safe.jpg,6.2,2012
238,Safety Not Guaranteed,Comedy,SafetyNotGuaranteed.jpg,6.6,2012
239,Seven Psychopaths,Comedy Crime,SevenPsychopaths.jpg,6.9,2012
240,Silver Linings Playbook,Comedy,SilverLiningsPlaybook.jpg,7.5,2012
241,Skyfall,Action,Skyfall.jpg,7.5,2012
242,Snow White and the Huntsman,Action Adventure Fantasy,SnowWhiteandtheHuntsman.jpg,5.7,2012
243,Taken 2,Action,Taken2.jpg,6,2012
244,Ted,Comedy Fantasy,Ted.jpg,6.6,2012
245,The Amazing Spider-Man,Action,TheAmazingSpider-Man.jpg,6.6,2012
246,The Avengers,Sci-Fi,TheAvengers.jpg,8,2012
247,The Bourne Legacy,Action,TheBourneLegacy.jpg,6.4,2012
248,The Campaign,Comedy,CampaignThe.jpg,6.1,2012
249,The Dark Knight Rises,Action Thriller,TheDarkKnightRises.jpg,8.4,2012
250,The Dictator,Comedy,TheDictator.jpg,6,2012
251,The Expendables 2,Action,TheExpendables2.jpg,6.4,2012
252,The Hobbit An Unexpected Journey,Adventure Fantasy,TheHobbitAnUnexpectedJourney.jpg,7.8,2012
253,The Hunger Games,Sci-Fi,TheHungerGames.jpg,7.1,2012
254,The Hunt,Drama,TheHunt.jpg,8.2,2012
255,The Killing,Crime Film-Noir,KillingThe.jpg,6.2,2012
256,The Mask,Comedy Crime Fantasy,MaskThe.jpg,5.6,2012
257,The Master,Drama,TheMaster.jpg,6.9,2012
258,The Perks of Being a Wallflower,Drama Romance,ThePerksofBeingaWallflower.jpg,7.8,2012
259,The Place Beyond the Pines,Crime,ThePlaceBeyondthePines.jpg,7.1,2012
260,The Watch,Action,TheWatch.jpg,5.3,2012
261,This Is 40,Comedy,ThisIs40.jpg,5.7,2012
262,This Means War,Action Comedy,ThisMeansWar.jpg,6,2012
263,Underworld Awakening,Action Fantasy Horror,UnderworldAwakening.jpg,6,2012
264,Wanderlust,Comedy,Wanderlust.jpg,5.1,2012
265,Wreck-It Ralph,Animation Sci-Fi,Wreck-ItRalph.jpg,7.5,2012
266,Zero Dark Thirty,War,ZeroDarkThirty.jpg,7.1,2012
267,30 Minutes or Less,Comedy Crime,30MinutesorLess.jpg,6.1,2011
268,Attack the Block,Action Comedy Sci-Fi,AttacktheBlock.jpg,6.6,2011
269,Bad Teacher,Comedy,BadTeacher.jpg,5.6,2011
270,Bridesmaids,Comedy,Bridesmaids.jpg,6.8,2011
271,Captain America The First Avenger,Action Thriller War,CaptainAmericaTheFirstAvenger.jpg,6.9,2011
272,Colombiana,Action Thriller,Colombiana.jpg,6.4,2011
273,Contagion,Sci-Fi Thriller IMAX,Contagion.jpg,6.7,2011
274,Cowboys & Aliens,Action Sci-Fi Western IMAX,Cowboys&Aliens.jpg,6,2011
275,Crazy Stupid,Comedy,CrazyStupid.jpg,7.4,2011
276,Fast Five,Action Crime IMAX,FastFive.jpg,7.3,2011
277,Friends with Benefits,Comedy,FriendswithBenefits.jpg,6.5,2011
278,Ghost Rider Spirit of Vengeance,Action Fantasy Thriller,GhostRiderSpiritofVengeance.jpg,4.3,2011
279,Green Lantern,Sci-Fi,GreenLantern.jpg,5.5,2011
280,Harry Potter and the Deathly Hallows Part II,Action Adventure Fantasy Mystery IMAX,HarryPotterandtheDeathlyHallowsPartII.jpg,7,2011
281,Headhunters,Action,Headhunters.jpg,7.5,2011
282,Horrible Bosses,Comedy Crime,HorribleBosses.jpg,6.9,2011
283,Hugo,Children Drama Mystery,Hugo.jpg,7.5,2011
284,I Am Number Four,Action Sci-Fi,IAmNumberFour.jpg,6.1,2011
285,In Time,Crime Sci-Fi Thriller,InTime.jpg,6.7,2011
286,Intouchables,Comedy,Intouchables.jpg,8.5,2011
287,Jack and Jill,Comedy,JackandJill.jpg,3.3,2011
288,Jane Eyre,Drama Romance,JaneEyre.jpg,7.3,2011
289,Jiro Dreams of Sushi,Documentary,JiroDreamsofSushi.jpg,7.9,2011
290,Johnny English Reborn,Adventure Comedy Thriller,JohnnyEnglishReborn.jpg,6.3,2011
291,Just Go with It,Comedy,JustGowithIt.jpg,6.4,2011
292,Kung Fu Panda 2,Animation Children Comedy IMAX,KungFuPanda2.jpg,7.2,2011
293,Limitless,Sci-Fi Thriller,Limitless.jpg,7.4,2011
294,Louis C.K. Live at the Beacon Theater,Comedy,LouisC.K.LiveattheBeaconTheater.jpg,8.4,2011
295,Manhattan,Comedy,Manhattan.jpg,7,2011
296,Margin Call,Drama Thriller,MarginCall.jpg,7.1,2011
297,Melancholia,Drama Sci-Fi,Melancholia.jpg,7.2,2011
298,Midnight in Paris,Comedy Fantasy Romance,MidnightinParis.jpg,7.7,2011
299,Mission Impossible - Ghost Protocol,Action Thriller IMAX,MissionImpossible-GhostProtocol.jpg,7.4,2011
300,Moneyball,Drama,Moneyball.jpg,7.6,2011
301,Mr. Popper's Penguins,Comedy,Mr.Popper'sPenguins.jpg,6,2011
302,No Strings Attached,Comedy,NoStringsAttached.jpg,6.2,2011
303,Pirates of the Caribbean On Stranger Tides,Action Adventure Fantasy IMAX,PiratesoftheCaribbeanOnStrangerTides.jpg,6.6,2011
304,Priest,Drama,Priest.jpg,5.7,2011
305,Puss in Boots,Animation Comedy Fantasy IMAX,PussinBoots.jpg,6.6,2011
306,Rango,Animation Children Comedy Western,Rango.jpg,7.2,2011
307,Real Steel,Action Sci-Fi,RealSteel.jpg,7.1,2011
308,Rise of the Planet of the Apes,Action Thriller,RiseofthePlanetoftheApes.jpg,7.6,2011
309,Shame,Drama,Shame.jpg,7.1,2011
310,Sherlock Holmes A Game of Shadows,Action Adventure Crime Mystery Thriller,SherlockHolmesAGameofShadows.jpg,7.3,2011
311,Source Code,Mystery Sci-Fi Thriller,SourceCode.jpg,7.3,2011
312,Straw Dogs,Action Drama Thriller,StrawDogs.jpg,5.3,2011
313,Sucker Punch,Action Fantasy,SuckerPunch.jpg,5.7,2011
314,Super 8,Mystery Sci-Fi Thriller,Super8.jpg,6.9,2011
315,The Adjustment Bureau,Romance Sci-Fi Thriller,TheAdjustmentBureau.jpg,6.9,2011
316,The Adventures of Tintin,Action Adventure Family Mystery,TheAdventuresofTintin.jpg,7.1,2011
317,The Artist,Comedy,TheArtist.jpg,7.8,2011
318,The Change-Up,Comedy,Change-UpThe.jpg,6.3,2011
319,The Descendants,Comedy,TheDescendants.jpg,7.1,2011
320,The Girl with the Dragon Tattoo,Crime,TheGirlwiththeDragonTattoo.jpg,7.5,2011
321,The Green Hornet,Sci-Fi,TheGreenHornet.jpg,5.3,2011
322,The Grey,Action,TheGrey.jpg,6.4,2011
323,The Hangover Part II,Comedy,TheHangoverPartII.jpg,6.2,2011
324,The Help,Drama,TheHelp.jpg,8,2011
325,The Ides of March,Drama,TheIdesofMarch.jpg,6.9,2011
326,The Lincoln Lawyer,Crime,TheLincolnLawyer.jpg,7.1,2011
327,The Muppets,Children Comedy Musical,MuppetsThe.jpg,7.1,2011
328,The Raid Redemption,Action,TheRaidRedemption.jpg,7.3,2011
329,The Sitter,Comedy,TheSitter.jpg,5.3,2011
330,Thor,Action,Thor.jpg,6.6,2011
331,Tinker Tailor Soldier Spy,Drama Mystery Thriller,TinkerTailorSoldierSpy.jpg,6.9,2011
332,Transformers Dark of the Moon,Sci-Fi,TransformersDarkoftheMoon.jpg,6,2011
333,Unknown,Action Mystery Thriller,Unknown.jpg,6.6,2011
334,Warrior,Drama Sport,Warrior.jpg,8,2011
335,We Bought a Zoo,Comedy,WeBoughtaZoo.jpg,6.9,2011
336,X-Men First Class,Sci-Fi,X-MenFirstClass.jpg,7.5,2011
337,Your Highness,Adventure Comedy Fantasy,YourHighness.jpg,5.1,2011
338,127 Hours,Adventure Drama Thriller,127Hours.jpg,7.6,2010
339,Alice,Comedy Fantasy Romance,Alice.jpg,6.4,2010
340,Alice in Wonderland,Animation Children Fantasy Musical,AliceinWonderland.jpg,6.4,2010
341,Black Swan,Drama Thriller,BlackSwan.jpg,8,2010
342,Blue Valentine,Drama Romance,BlueValentine.jpg,7.4,2010
343,Clash of the Titans,Action Adventure Fantasy,ClashoftheTitans.jpg,5.8,2010
344,Cop Out,Comedy Crime,CopOut.jpg,5.6,2010
345,Date Night,Action Comedy,DateNight.jpg,6.3,2010
346,Day & Night,Animation Children,Day&Night.jpg,8.1,2010
347,Despicable Me,Animation Children Comedy Crime,DespicableMe.jpg,7.6,2010
348,Dinner for Schmucks,Comedy,DinnerforSchmucks.jpg,5.9,2010
349,Diva,Action Drama Mystery Romance Thriller,Diva.jpg,6.4,2010
350,Due Date,Comedy,DueDate.jpg,6.5,2010
351,Easy A,Comedy,EasyA.jpg,7.1,2010
352,Elite Squad The Enemy Within,Action Crime,EliteSquadTheEnemyWithin.jpg,8,2010
353,Exit Through the Gift Shop,Comedy Documentary,ExitThroughtheGiftShop.jpg,8,2010
354,Fair Game,Action,FairGame.jpg,6.8,2010
355,Four Lions,Comedy,FourLions.jpg,7.3,2010
356,Get Him to the Greek,Comedy,GetHimtotheGreek.jpg,6.4,2010
357,Green Zone,War,GreenZone.jpg,6.8,2010
358,Grown Ups,Comedy,GrownUps.jpg,5.9,2010
359,Gulliver's Travels,Adventure Comedy Fantasy,Gulliver'sTravels.jpg,4.9,2010
360,Harry Potter and the Deathly Hallows Part I,Action Adventure Fantasy IMAX,HarryPotterandtheDeathlyHallowsPartI.jpg,6,2010
361,Hot Tub Time Machine,Comedy Sci-Fi,HotTubTimeMachine.jpg,6.4,2010
362,How to Train Your Dragon,Animation Children Fantasy IMAX,HowtoTrainYourDragon.jpg,8.1,2010
363,I Spit on Your Grave,Horror Thriller,ISpitonYourGrave.jpg,6.3,2010
364,Incendies,War,Incendies.jpg,8.3,2010
365,Inception,Action Crime Sci-Fi Thriller IMAX,Inception.jpg,8.8,2010
